Region, QCD, QCD_err, TTbar, TTbar_err, Wjets, Wjets_err, Zjets, Zjets_err, VV_VH, VV_VH_err, Rare_top, Rare_top_err, Rare_EWK, Rare_EWK_err, Data, Data_err, VBSVVH, VBSVVH_err
RegionA,0.198025,0.198025,0.303997,0.138723,0.077377,0.077377,0.000000,0.000000,0.000000,0.000000,0.572096,0.269856,0.581356,0.178239,1.000000,1.000000,1.127289,0.028764
RegionB,55.885279,3.574564,19.410844,1.163062,4.631472,0.669686,3.659885,0.488393,0.734247,0.473925,8.536255,1.092092,6.153983,0.580266,159.000000,12.609520,1.641158,0.035638
RegionC,381.774913,36.643109,179.879677,3.533264,9.934405,0.978263,5.939119,0.622655,1.000647,0.585332,16.213120,1.335001,17.978645,0.996177,1144.000000,33.823069,5.107151,0.060036
RegionD,17607.129437,254.895487,6903.396725,21.910026,512.489212,7.070015,460.615887,5.580261,45.877034,3.980648,668.841086,9.089199,208.222576,3.325655,46789.000000,216.307651,9.762549,0.082812
RegionD1,2218.106954,82.651891,580.862399,6.299869,72.760645,2.664236,64.096538,2.091451,9.962067,1.584990,127.960411,4.117504,78.490245,2.058258,5989.000000,77.388630,5.479297,0.062501
RegionD2,3807.592339,108.076522,968.603644,8.152122,148.427567,3.792207,123.941673,2.896472,12.941027,2.533739,186.374519,5.011471,74.818730,1.992816,10236.000000,101.173119,2.671156,0.043657
RegionD3,4163.896439,129.527549,2042.911105,11.910313,97.034228,3.086577,91.338412,2.485166,10.833427,1.631172,140.163932,3.987886,27.377345,1.199385,11435.000000,106.934559,0.988264,0.025530
RegionD4,7417.533704,172.285965,3311.019577,15.233129,194.266772,4.356508,181.239263,3.492784,12.140512,2.062234,214.342223,4.964033,27.536256,1.188998,19129.000000,138.307628,0.623831,0.019842
RegionC1,14.864024,6.998790,1.310435,0.319778,0.077225,0.077225,0.079760,0.079760,0.000000,0.000000,0.365970,0.201803,0.687480,0.189269,13.000000,3.605551,0.646809,0.021318
RegionC2,98.369955,16.220319,31.245347,1.470919,3.475396,0.578446,2.478471,0.392622,0.995310,0.585329,6.273215,0.869935,13.323981,0.860492,377.000000,19.416488,3.926812,0.052892
RegionC3,24.940228,9.742200,9.264769,0.826752,0.345403,0.179573,0.000000,0.000000,0.000000,0.000000,0.467485,0.206111,0.119767,0.082995,37.000000,6.082763,0.066047,0.006624
RegionC4,243.600706,30.589625,138.059126,3.087811,6.036381,0.764322,3.380888,0.476640,0.005337,0.001915,9.106450,0.970687,3.847418,0.457396,717.000000,26.776856,0.467483,0.017562
RegionB1,18.645311,2.034240,6.225831,0.665750,1.166013,0.336171,0.953865,0.243695,0.052536,0.246718,4.571487,0.779784,3.273824,0.422323,63.000000,7.937254,1.117020,0.029410
RegionB2,37.239968,2.939282,13.185012,0.953673,3.465459,0.579196,2.706020,0.423250,0.681711,0.404642,3.964769,0.764593,2.880159,0.397934,96.000000,9.797959,0.524138,0.020126
RegionD1dublicate,2218.106954,82.651891,580.862399,6.299869,72.760645,2.664236,64.096538,2.091451,9.962067,1.584990,127.960411,4.117504,78.490245,2.058258,5989.000000,77.388630,5.479297,0.062501
RegionD2dublicate,3807.592339,108.076522,968.603644,8.152122,148.427567,3.792207,123.941673,2.896472,12.941027,2.533739,186.374519,5.011471,74.818730,1.992816,10236.000000,101.173119,2.671156,0.043657
