Region, QCD, QCD_err, TTbar, TTbar_err, Wjets, Wjets_err, Zjets, Zjets_err, VV_VH, VV_VH_err, Rare_top, Rare_top_err, Rare_EWK, Rare_EWK_err, Data, Data_err, VBSVVH, VBSVVH_err
RegionA,0.597052,0.344753,0.370938,0.154030,0.077377,0.077377,0.000000,0.000000,0.000000,0.000000,0.572096,0.269856,0.648262,0.190383,1.000000,1.000000,1.164629,0.029311
RegionB,55.486251,3.563407,19.343903,1.161134,4.631472,0.669686,3.659885,0.488393,0.734247,0.473925,8.536255,1.092092,6.087077,0.576395,159.000000,12.609520,1.603818,0.035189
RegionC,446.806825,40.342324,203.107640,3.760222,10.867884,1.022272,7.015019,0.687128,1.002419,0.585334,18.287564,1.415941,19.359061,1.032081,1282.000000,35.805028,5.307122,0.061248
RegionD,17542.097524,254.336241,6880.168763,21.872218,511.555732,7.063786,459.539986,5.572689,45.875263,3.980648,666.766642,9.076942,206.842160,3.314689,46651.000000,215.988426,9.562578,0.081919
RegionD1,2202.440779,82.348917,576.576566,6.274152,72.078622,2.652087,63.684942,2.083303,9.962067,1.584990,127.340226,4.109138,77.396624,2.043455,5946.000000,77.110311,5.305016,0.061433
RegionD2,3807.592339,108.076522,968.603644,8.152122,148.427567,3.792207,123.941673,2.896472,12.941027,2.533739,186.374519,5.011471,74.818730,1.992816,10236.000000,101.173119,2.671156,0.043657
RegionD3,4114.530702,128.618005,2023.968976,11.854266,96.782772,3.082776,90.674108,2.474999,10.831656,1.631172,138.709674,3.968550,27.090549,1.194328,11340.000000,106.489436,0.962574,0.025241
RegionD4,7417.533704,172.285965,3311.019577,15.233129,194.266772,4.356508,181.239263,3.492784,12.140512,2.062234,214.342223,4.964033,27.536256,1.188998,19129.000000,138.307628,0.623831,0.019842
RegionC1,14.864024,6.998790,1.310435,0.319778,0.077225,0.077225,0.079760,0.079760,0.000000,0.000000,0.365970,0.201803,0.687480,0.189269,13.000000,3.605551,0.646809,0.021318
RegionC2,114.036130,17.694341,35.531180,1.577012,4.157419,0.631814,2.890067,0.433780,0.995310,0.585329,6.893400,0.908628,14.417601,0.895077,420.000000,20.493902,4.101093,0.054129
RegionC3,24.940228,9.742200,9.264769,0.826752,0.345403,0.179573,0.000000,0.000000,0.000000,0.000000,0.467485,0.206111,0.119767,0.082995,37.000000,6.082763,0.066047,0.006624
RegionC4,292.966443,34.212862,157.001255,3.296441,6.287837,0.779514,4.045192,0.526895,0.007108,0.002300,10.560708,1.046938,4.134214,0.470444,812.000000,28.495614,0.493173,0.017974
RegionB1,18.246284,2.014569,6.158890,0.662376,1.166013,0.336171,0.953865,0.243695,0.052536,0.246718,4.571487,0.779784,3.206918,0.416989,63.000000,7.937254,1.079680,0.028865
RegionB2,37.239968,2.939282,13.185012,0.953673,3.465459,0.579196,2.706020,0.423250,0.681711,0.404642,3.964769,0.764593,2.880159,0.397934,96.000000,9.797959,0.524138,0.020126
RegionD1dublicate,2202.440779,82.348917,576.576566,6.274152,72.078622,2.652087,63.684942,2.083303,9.962067,1.584990,127.340226,4.109138,77.396624,2.043455,5946.000000,77.110311,5.305016,0.061433
RegionD2dublicate,3807.592339,108.076522,968.603644,8.152122,148.427567,3.792207,123.941673,2.896472,12.941027,2.533739,186.374519,5.011471,74.818730,1.992816,10236.000000,101.173119,2.671156,0.043657
