Region, QCD, QCD_err, TTbar, TTbar_err, Wjets, Wjets_err, Zjets, Zjets_err, VV_VH, VV_VH_err, Rare_top, Rare_top_err, Rare_EWK, Rare_EWK_err, Data, Data_err, VBSVVH, VBSVVH_err
RegionA,0.000000,0.000000,0.238265,0.122161,0.077377,0.077377,0.000000,0.000000,0.000000,0.000000,0.302352,0.188564,0.553478,0.176402,0.000000,0.000000,0.950548,0.026421
RegionB,41.158734,3.058512,15.198551,1.011898,3.761854,0.598920,2.853217,0.429399,0.680566,0.469991,7.137049,1.005541,5.161558,0.532748,110.000000,10.488088,1.515093,0.034554
RegionC,327.528726,33.981272,149.335281,3.226060,7.747840,0.866649,4.964552,0.572892,0.214574,0.272288,14.290145,1.278702,15.383522,0.917914,943.000000,30.708305,4.867748,0.058640
RegionD,17676.300194,255.270763,6938.219146,21.964945,515.545394,7.090896,462.397121,5.590434,46.716788,4.014691,672.433012,9.109309,211.838003,3.356088,47040.000000,216.887067,10.304758,0.085023
RegionD1,2243.168960,83.064594,587.658465,6.338165,73.496494,2.676424,64.957391,2.104081,10.739880,1.667563,129.377923,4.137228,81.205346,2.095687,6081.000000,77.980767,5.909580,0.064862
RegionD2,3817.856828,108.087090,971.894646,8.166992,149.220962,3.803262,124.397174,2.901983,13.002393,2.534452,187.183187,5.022321,75.010341,1.994911,10266.000000,101.321271,2.739042,0.044147
RegionD3,4197.740701,129.992934,2067.646458,11.980755,98.561167,3.110241,91.803293,2.490932,10.834002,1.631172,141.529678,3.999690,28.086060,1.215745,11564.000000,107.536040,1.032305,0.026060
RegionD4,7417.533704,172.285965,3311.019577,15.233129,194.266772,4.356508,181.239263,3.492784,12.140512,2.062234,214.342223,4.964033,27.536256,1.188998,19129.000000,138.307628,0.623831,0.019842
RegionC1,14.864024,6.998790,1.310435,0.319778,0.077225,0.077225,0.079760,0.079760,0.000000,0.000000,0.365970,0.201803,0.687480,0.189269,13.000000,3.605551,0.666638,0.021641
RegionC2,77.968031,13.995896,25.436304,1.330428,2.815771,0.524712,1.968785,0.351214,0.209813,0.272282,5.715986,0.839004,11.437573,0.793823,305.000000,17.464249,3.711620,0.051432
RegionC3,24.940228,9.742200,9.264769,0.826752,0.345403,0.179573,0.000000,0.000000,0.000000,0.000000,0.467485,0.206111,0.119767,0.082995,37.000000,6.082763,0.066047,0.006624
RegionC4,209.756444,28.547298,113.323773,2.802080,4.509441,0.661474,2.916008,0.445525,0.004762,0.001826,7.740704,0.920839,3.138703,0.411947,588.000000,24.248711,0.423443,0.016766
RegionB1,14.183255,1.731875,5.304541,0.597590,1.089789,0.327416,0.602698,0.192861,0.060220,0.246513,3.980948,0.731690,2.473009,0.365816,44.000000,6.633250,1.058841,0.028844
RegionB2,26.975479,2.520934,9.894011,0.816593,2.672065,0.501502,2.250520,0.383651,0.620345,0.400154,3.156101,0.689740,2.688549,0.387297,66.000000,8.124038,0.456253,0.019026
RegionD1dublicate,2243.168960,83.064594,587.658465,6.338165,73.496494,2.676424,64.957391,2.104081,10.739880,1.667563,129.377923,4.137228,81.205346,2.095687,6081.000000,77.980767,5.909580,0.064862
RegionD2dublicate,3817.856828,108.087090,971.894646,8.166992,149.220962,3.803262,124.397174,2.901983,13.002393,2.534452,187.183187,5.022321,75.010341,1.994911,10266.000000,101.321271,2.739042,0.044147
