Region, QCD, QCD_err, TTbar, TTbar_err, Wjets, Wjets_err, Zjets, Zjets_err, VV_VH, VV_VH_err, Rare_top, Rare_top_err, Rare_EWK, Rare_EWK_err, Data, Data_err, VBSVVH, VBSVVH_err
RegionA,0.393729,0.278413,0.305206,0.139300,0.077377,0.077377,0.000000,0.000000,0.000000,0.000000,0.302352,0.188564,0.620384,0.188664,0.000000,0.000000,1.049206,0.027901
RegionB,40.765005,3.045814,15.131610,1.009682,3.761854,0.598920,2.853217,0.429399,0.680566,0.469991,7.137049,1.005541,5.094652,0.528530,110.000000,10.488088,1.416436,0.033370
RegionC,447.010149,40.342836,203.173371,3.760796,10.867884,1.022272,7.015019,0.687128,1.002419,0.585334,18.557308,1.429040,19.386939,1.032396,1283.000000,35.818989,5.422545,0.061903
RegionD,17556.818770,254.342966,6884.381056,21.879732,512.425351,7.070138,460.346654,5.577545,45.928944,3.981114,668.165849,9.086937,207.834586,3.322657,46700.000000,216.101828,9.749960,0.082677
RegionD1,2206.897536,82.355818,577.497857,6.281010,72.154845,2.653182,64.036109,2.088622,9.954382,1.585022,127.930765,4.117974,78.197440,2.054323,5965.000000,77.233412,5.424513,0.062094
RegionD2,3817.856828,108.087090,971.894646,8.166992,149.220962,3.803262,124.397174,2.901983,13.002393,2.534452,187.183187,5.022321,75.010341,1.994911,10266.000000,101.321271,2.739042,0.044147
RegionD3,4114.530702,128.618005,2023.968976,11.854266,96.782772,3.082776,90.674108,2.474999,10.831656,1.631172,138.709674,3.968550,27.090549,1.194328,11340.000000,106.489436,0.962574,0.025241
RegionD4,7417.533704,172.285965,3311.019577,15.233129,194.266772,4.356508,181.239263,3.492784,12.140512,2.062234,214.342223,4.964033,27.536256,1.188998,19129.000000,138.307628,0.623831,0.019842
RegionC1,14.864024,6.998790,1.310435,0.319778,0.077225,0.077225,0.079760,0.079760,0.000000,0.000000,0.365970,0.201803,0.687480,0.189269,13.000000,3.605551,0.666638,0.021641
RegionC2,114.239454,17.695509,35.596912,1.578382,4.157419,0.631814,2.890067,0.433780,0.995310,0.585329,7.163144,0.928908,14.445479,0.895441,421.000000,20.518285,4.196687,0.054742
RegionC3,24.940228,9.742200,9.264769,0.826752,0.345403,0.179573,0.000000,0.000000,0.000000,0.000000,0.467485,0.206111,0.119767,0.082995,37.000000,6.082763,0.066047,0.006624
RegionC4,292.966443,34.212862,157.001255,3.296441,6.287837,0.779514,4.045192,0.526895,0.007108,0.002300,10.560708,1.046938,4.134214,0.470444,812.000000,28.495614,0.493173,0.017974
RegionB1,13.789526,1.709350,5.237600,0.593829,1.089789,0.327416,0.602698,0.192861,0.060220,0.246513,3.980948,0.731690,2.406103,0.359645,44.000000,6.633250,0.960183,0.027414
RegionB2,26.975479,2.520934,9.894011,0.816593,2.672065,0.501502,2.250520,0.383651,0.620345,0.400154,3.156101,0.689740,2.688549,0.387297,66.000000,8.124038,0.456253,0.019026
RegionD1dublicate,2206.897536,82.355818,577.497857,6.281010,72.154845,2.653182,64.036109,2.088622,9.954382,1.585022,127.930765,4.117974,78.197440,2.054323,5965.000000,77.233412,5.424513,0.062094
RegionD2dublicate,3817.856828,108.087090,971.894646,8.166992,149.220962,3.803262,124.397174,2.901983,13.002393,2.534452,187.183187,5.022321,75.010341,1.994911,10266.000000,101.321271,2.739042,0.044147
